Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,.1uF,
"C10, C4, C6, C7",0805,4,4.7 uF,
"C11, C12, C27, C29, C30, C31, C32, C34, C35, C36, C37, C38, C5, C8, C9",0603,15,0.1 uF,
"C13, C25, C26, C28, C33, C41, C42",0805,7,1 uF,
"C16, C2",0603,2,10uF,
C39,0603,1,10 nF,
C40,0805,1,22nF,
"D0, D1, D2, D3",0603,4,LED,
"D4, D5, D6, D7, D8",D_SOD-523,5,D_Schottky,C8524
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C709357
J7,PinHeader_1x06_P1.27mm_Vertical,1,Conn_01x06,C190819
"MIDI0, MIDII1",PJ-327C-4A,2,AudioJack2_Ground_SwitchT,C145813
Q2,SOT-23,1,NCE3400,C113202
"R1, R2",0603,2,5.1k,
"R10, R3, R4, R5, R6, R7, R8, R9",0603,8,10k,
"R11, R12, R21, R22",0603,4,220,
"R23, R24",0603,2,27,
"R25, R27",0603,2,2k,
"R29, R30, R31, R32",0603,4,10,
R34,0603,1,1k,
R35,0603,1,DNP,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
"TOF0, TOF1, TOF2, TOF3",SENSOR_VL53L0X,4,VL53L0X,C91199
U1,RU_16_ADI,1,AD5317RBRUZ-RL7,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-25,1,VRH4801NTX,C698019
U4,SOT-23-5,1,RT9193-33GB,C15651
U5,SOT-23-5,1,LP5907MFX-2.8_NOPB,C186700
U6,SO-4_4.4x3.6mm_P2.54mm,1,LTV-352T,
U9,RP2040-QFN-56,1,RP2040,C2040
"VC0, VC1, VC2, VC3",PJ-327C-4A,4,PJ-327C-4A,C145813
X1,Oscillator_SMD_Kyocera_KC2520Z-4Pin_2.5x2.0mm,1,XO53,C2901596
