Designator,Mid X,Mid Y,Rotation,Layer
C1,-95.5,204.75,180.0,top
C10,-90.25,212.25,90.0,top
C11,-92.25,213.75,90.0,top
C12,-81.5,198.05,270.0,top
C13,-87.5,198.05,90.0,top
C16,-89.637499,194.8625,270.0,top
C2,-95.5,202.75,180.0,top
C25,-105.9625,186.925,0.0,top
C26,-114.0,185.925,90.0,top
C27,-92.0,165.0,90.0,top
C28,-92.5,180.5,270.0,top
C29,-96.8,180.5,270.0,top
C3,-91.637499,194.8625,270.0,top
C30,-87.8,180.5,270.0,top
C31,-95.0,180.5,270.0,top
C32,-87.0,175.0,180.0,top
C33,-90.0,180.5375,270.0,top
C34,-87.5,171.25,180.0,top
C35,-93.7,165.0,90.0,top
C36,-101.5,171.25,0.0,top
C37,-100.9,175.4,0.0,top
C38,-98.8,185.4625,270.0,top
C39,-96.3,162.1,180.0,top
C4,-101.5,148.0375,270.0,top
C40,-106.0,184.425,0.0,top
C41,-114.5,190.4625,270.0,top
C42,-107.5,190.425,270.0,top
C5,-99.25,148.0,270.0,top
C6,-118.5,186.5,180.0,top
C7,-72.75,175.25,0.0,top
C8,-118.25,184.25,180.0,top
C9,-72.75,177.25,0.0,top
D0,-114.5,180.75,90.0,top
D1,-95.5,210.0,0.0,top
D2,-76.5,180.75,270.0,top
D3,-95.5,151.5,180.0,top
D4,-112.5,180.75,270.0,top
D5,-95.5,208.0,180.0,top
D6,-78.5,180.75,90.0,top
D7,-95.5,153.5,0.0,top
D8,-107.45,146.5,0.0,top
J1,-119.1,198.5,270.0,top
J7,-88.0,159.46,180.0,top
MIDI0,-73.5,153.0,0.0,top
MIDII1,-117.5,153.0,180.0,top
Q2,-73.75,160.25,0.0,top
R1,-111.0,201.75,270.0,top
R10,-99.25,214.5875,90.0,top
R11,-111.0,146.25,180.0,top
R12,-110.0,159.25,0.0,top
R2,-110.75,196.25,90.0,top
R21,-74.8375,146.75,0.0,top
R22,-77.75,159.5,0.0,top
R23,-94.9,184.6,90.0,top
R24,-92.7,184.6,90.0,top
R25,-84.75,154.6625,270.0,top
R27,-86.25,154.6625,270.0,top
R29,-95.5,212.0,0.0,top
R3,-91.75,152.3375,90.0,top
R30,-74.5,180.75,270.0,top
R31,-95.5,149.5,180.0,top
R32,-116.5,180.75,90.0,top
R34,-108.4,180.7,270.0,top
R35,-110.1,180.7,90.0,top
R4,-91.75,147.0,270.0,top
R5,-114.75,176.75,0.0,top
R6,-77.5,184.5,180.0,top
R7,-119.0,176.75,180.0,top
R8,-72.0,184.5,0.0,top
R9,-99.25,210.1625,270.0,top
SW1,-109.0,173.25,90.0,top
TOF0,-119.25,180.75,270.0,top
TOF1,-95.5,214.75,180.0,top
TOF2,-71.75,180.75,90.0,top
TOF3,-95.5,146.75,0.0,top
U1,-95.5,197.174999,270.0,top
U2,-102.7,179.5,0.0,top
U3,-84.2,197.7,180.0,top
U4,-110.5,185.925,0.0,top
U5,-111.0,190.375,0.0,top
U6,-107.5,153.0,90.0,top
U9,-94.2,172.2,0.0,top
VC0,-115.0,213.0,90.0,top
VC1,-105.0,213.0,90.0,top
VC2,-86.0,213.0,90.0,top
VC3,-76.0,213.0,90.0,top
X1,-96.4,164.7,90.0,top
