Id,Designator,Package,Quantity,Designation,Supplier and ref,,
1,"TOF3,TOF2,TOF1,TOF0",SENSOR_VL53L0X,4,VL53L0X,VL53L0CXV0DH/1 ,C91199 ,https://jlcpcb.com/partdetail/Stmicroelectronics-VL53L0CXV0DH1/C91199
2,"C33,C28",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,1 uF,0805B105K500NT ,C215803 ,
3,"C29,C27,C37,C36,C35,C34,C32,C31,C30",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,9,0.1 uF,0603B104K500NT ,C30926 ,
4,Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,8 MHz,,,
5,Q1,SOT-23-6_Handsoldering,1,Q_DUAL_NMOS_S1G1D2S2G2D1,,,
6,"C26,C25",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,18 pF,0603N180J101CT ,C152920 ,
7,"C24,C13,C3,C2,C1",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,1uF,0805B105K500NT ,C215803 ,
8,"C23,C22,C21,C20,C19,C18,C17,C16,C15,C14,C12,C11,C9,C8,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,15,0.1uF,,,
9,"C10,C7,C6,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,4.7uF,0805F475M500NTCopy ,C215908 ,
10,"R32,R31,R30,R29",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,10,,,
11,"R28,R26,R11,R12",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,4.7k,,,
12,"R27,R25",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,2k,,,
13,"R24,R23",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,27,,,
14,"R22,R21",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,220,,,
15,"R20,R19,R18,R17,R16,R15,R14,R13",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8,1k,,,
16,"R10,R9,R8,R7,R6,R5,R4,R3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8,10k,,,
17,"R2,R1",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,5.1k,,,
18,U9,RP2040-QFN-56,1,RP2040,RP2040,C2040 ,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040
19,U8,TSSOP-14_4.4x5mm_P0.65mm,1,TSV994IPT,TSV994IPT,C503311 ,https://jlcpcb.com/partdetail/Stmicroelectronics-TSV994IPT/C503311
20,U7,SON40P300X500X80-15N,1,DS3911,DS3911T+T,C1554592 ,https://jlcpcb.com/partdetail/MaximIntegrated-DS3911TT/C1554592
21,U6,SOT-553,1,TCR2EE48,VRH4801NTX ,C698019 ,s
22,J7,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,,,
23,"VC1,VC2,VC0,VC3,J6",sj-352x-smt,5,AudioJack2_Ground_SwitchT,,,
24,"D0,D3,D2,D1",LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,4,LED,,,
25,Q2,SOT-23,1,Q_NMOS_GDS,,,
26,J1,USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles_nopads,1,USB_C_Receptacle-Connector,,,
27,U1,SOT-23-6_Handsoldering,1,AP7332-2833,,,
